team,player,number,pos,season,fpl_game_week_x,mins_played_last,percentage_of_teams_actual_goals_last_5,percentage_of_teams_xg_goals_last_5,percentage_of_teams_actual_assists_last_5,percentage_of_teams_xg_assists_last_5,count,fpl_game_week_y,scored,conceded,cleen_sheet_prob,date,predicted_points_actual,predicted_points_xg
Liverpool,Danny Ings,0.0,FWD,2017-18,28,0.0,0.0,0.008,0.0,0.0,1,28,2.320387802460405,0.4479209626541709,0.4984995477668779,2019-02-27,0.0,0.0
Liverpool,Danny Ings,0.0,FWD,2017-18,28,0.0,0.0,0.008,0.0,0.0,1,29,1.8412320020096835,0.6729524530157288,0.4169368562178986,2019-03-03,0.0,0.0
Liverpool,Danny Ings,0.0,FWD,2017-18,28,0.0,0.0,0.008,0.0,0.0,1,30,2.271543055920234,0.5369285139877316,0.4797018392731758,2019-03-10,0.0,0.0
Liverpool,Danny Ings,0.0,FWD,2017-18,28,0.0,0.0,0.008,0.0,0.0,1,31,2.310335983265813,0.6278923456672902,0.4689808000037793,2019-03-17,0.0,0.0
Liverpool,Danny Ings,0.0,FWD,2017-18,28,0.0,0.0,0.008,0.0,0.0,1,32,1.841470827374004,1.1127245452507184,0.3471793355226695,2019-03-31,0.0,0.0
Liverpool,Danny Ings,0.0,FWD,2017-18,28,0.0,0.0,0.008,0.0,0.0,1,33,1.9303803496405008,0.5912031216608243,0.438439999958927,2019-04-05,0.0,0.0
Liverpool,Danny Ings,0.0,FWD,2017-18,28,0.0,0.0,0.008,0.0,0.0,1,34,2.016171849300199,0.8069180745475075,0.4124220532943485,2019-04-14,0.0,0.0
Liverpool,Danny Ings,0.0,FWD,2017-18,28,0.0,0.0,0.008,0.0,0.0,1,35,2.120181072348256,0.4574166478659064,0.4778326926627076,2019-04-21,0.0,0.0
Liverpool,Danny Ings,0.0,FWD,2017-18,28,0.0,0.0,0.008,0.0,0.0,1,36,2.66450679454936,-0.2264480424556945,0.6384371386995197,2019-04-26,0.0,0.0
Liverpool,Danny Ings,0.0,FWD,2017-18,28,0.0,0.0,0.008,0.0,0.0,1,37,1.7839114953892825,0.7095022291512183,0.4056516851405455,2019-05-04,0.0,0.0
